B,R,tol,Rb,recall,false,relax,n_confirm_days
0.6,0.375,0.015,0.0,3,0,3.25,184
0.6,0.375,0.015,0.01,3,0,3.2,174
0.6,0.375,0.02,0.06,3,0,3.2,192
0.6,0.4,0.015,0.0,3,0,3.1944,183
0.625,0.375,0.015,0.0,3,0,3.1786,184
0.6,0.375,0.015,0.02,3,0,3.15,166
0.6,0.375,0.02,0.07,3,0,3.15,185
0.6,0.4,0.015,0.01,3,0,3.1444,173
0.6,0.4,0.02,0.06,3,0,3.1444,191
0.6,0.425,0.015,0.0,3,0,3.1389,179
0.625,0.375,0.015,0.01,3,0,3.1286,174
0.625,0.375,0.02,0.06,3,0,3.1286,192
0.6,0.375,0.0125,0.0,3,0,3.125,159
0.625,0.4,0.015,0.0,3,0,3.123,183
0.65,0.375,0.015,0.0,3,0,3.1071,184
0.6,0.375,0.015,0.03,3,0,3.1,161
0.6,0.375,0.02,0.08,3,0,3.1,176
0.6,0.4,0.015,0.02,3,0,3.0944,165
0.6,0.4,0.02,0.07,3,0,3.0944,184
0.6,0.425,0.015,0.01,3,0,3.0889,169
0.6,0.425,0.02,0.06,3,0,3.0889,186
0.6,0.45,0.015,0.0,3,0,3.0833,179
0.625,0.375,0.015,0.02,3,0,3.0786,166
0.625,0.375,0.02,0.07,3,0,3.0786,185
0.6,0.375,0.0125,0.01,3,0,3.075,151
0.6,0.375,0.0175,0.06,3,0,3.075,174
0.625,0.4,0.015,0.01,3,0,3.073,173
0.625,0.4,0.02,0.06,3,0,3.073,191
0.6,0.4,0.0125,0.0,3,0,3.0694,158
0.625,0.425,0.015,0.0,3,0,3.0675,179
0.65,0.375,0.015,0.01,3,0,3.0571,174
0.65,0.375,0.02,0.06,3,0,3.0571,192
0.625,0.375,0.0125,0.0,3,0,3.0536,159
0.65,0.4,0.015,0.0,3,0,3.0516,183
0.6,0.375,0.015,0.04,3,0,3.05,157
0.6,0.375,0.02,0.09,3,0,3.05,165
0.6,0.4,0.015,0.03,3,0,3.0444,160
0.6,0.4,0.02,0.08,3,0,3.0444,175
0.6,0.425,0.015,0.02,3,0,3.0389,161
0.6,0.425,0.02,0.07,3,0,3.0389,179
0.675,0.375,0.015,0.0,3,0,3.0357,184
0.6,0.45,0.015,0.01,3,0,3.0333,169
0.6,0.45,0.02,0.06,3,0,3.0333,186
0.625,0.375,0.015,0.03,3,0,3.0286,161
0.625,0.375,0.02,0.08,3,0,3.0286,176
0.6,0.475,0.015,0.0,3,0,3.0278,178
0.6,0.375,0.0125,0.02,3,0,3.025,143
0.6,0.375,0.0175,0.07,3,0,3.025,167
0.625,0.4,0.015,0.02,3,0,3.023,165
0.625,0.4,0.02,0.07,3,0,3.023,184
0.6,0.4,0.0125,0.01,3,0,3.0194,150
0.6,0.4,0.0175,0.06,3,0,3.0194,173
0.625,0.425,0.015,0.01,3,0,3.0175,169
0.625,0.425,0.02,0.06,3,0,3.0175,186
0.6,0.425,0.0125,0.0,3,0,3.0139,154
0.625,0.45,0.015,0.0,3,0,3.0119,179
0.65,0.375,0.015,0.02,3,0,3.0071,166
0.65,0.375,0.02,0.07,3,0,3.0071,185
0.625,0.375,0.0125,0.01,3,0,3.0036,151
0.625,0.375,0.0175,0.06,3,0,3.0036,174
0.65,0.4,0.015,0.01,3,0,3.0016,173
0.65,0.4,0.02,0.06,3,0,3.0016,191
0.6,0.375,0.015,0.05,3,0,3.0,154
0.6,0.375,0.02,0.1,3,0,3.0,160
0.625,0.4,0.0125,0.0,3,0,2.998,158
0.65,0.425,0.015,0.0,3,0,2.996,179
0.6,0.4,0.015,0.04,3,0,2.9944,156
0.6,0.4,0.02,0.09,3,0,2.9944,164
0.6,0.425,0.015,0.03,3,0,2.9889,156
0.6,0.425,0.02,0.08,3,0,2.9889,170
0.675,0.375,0.015,0.01,3,0,2.9857,174
0.675,0.375,0.02,0.06,3,0,2.9857,192
0.6,0.45,0.015,0.02,3,0,2.9833,161
0.6,0.45,0.02,0.07,3,0,2.9833,179
0.65,0.375,0.0125,0.0,3,0,2.9821,159
0.675,0.4,0.015,0.0,3,0,2.9802,183
0.625,0.375,0.015,0.04,3,0,2.9786,157
0.625,0.375,0.02,0.09,3,0,2.9786,165
0.6,0.475,0.015,0.01,3,0,2.9778,168
0.6,0.475,0.02,0.06,3,0,2.9778,185
0.6,0.375,0.0125,0.03,3,0,2.975,138
0.6,0.375,0.0175,0.08,3,0,2.975,158
0.625,0.4,0.015,0.03,3,0,2.973,160
0.625,0.4,0.02,0.08,3,0,2.973,175
0.6,0.5,0.015,0.0,3,0,2.9722,177
0.6,0.4,0.0125,0.02,3,0,2.9694,142
0.6,0.4,0.0175,0.07,3,0,2.9694,166
0.625,0.425,0.015,0.02,3,0,2.9675,161
0.625,0.425,0.02,0.07,3,0,2.9675,179
0.7,0.375,0.015,0.0,3,0,2.9643,184
0.6,0.425,0.0125,0.01,3,0,2.9639,146
0.6,0.425,0.0175,0.06,3,0,2.9639,168
0.625,0.45,0.015,0.01,3,0,2.9619,169
0.625,0.45,0.02,0.06,3,0,2.9619,186
0.6,0.45,0.0125,0.0,3,0,2.9583,154
